0.166048,-0.594952,-1.53671
0.158988,-0.090665,-1.53217
0.13271,0.478893,-1.52819
0.123002,1.01104,-1.53436
0.0879601,1.54607,-1.52679
0.0641821,2.08897,-1.52529
0.0290937,2.59278,-1.52643
0.0187069,3.14207,-1.52669
-0.00326826,3.66908,-1.52584
-0.0272961,4.19494,-1.50711
-0.579439,4.29394,-0.0547355
-1.12483,4.32529,-0.0582279
-1.63046,4.34732,-0.0570716
-2.19247,4.38241,-0.0581923
-2.3293,3.838,1.54249
-2.3579,3.31365,1.54276
-2.37363,2.80138,1.54772
-1.78251,2.61425,-3.13224
-1.23323,2.62006,-3.13082
-0.719436,2.61526,-3.12954
